variant,trajectory_id,step,seed,latency_ms,peak_allocated_gib,peak_reserved_gib,mse,mae
baseline,12,56,12000098,197.05028199996377,5.951632499694824,6.041015625,0.0001761946186888,0.0088995546102523
baseline,18,0,18000042,197.05771200005984,5.94920825958252,6.041015625,0.0005078447284176,0.0118917543441057
baseline,18,8,18000050,197.8877439998996,5.94920825958252,6.041015625,7.17897346476093e-05,0.004979564808309
baseline,18,16,18000058,195.3059750001103,5.94920825958252,6.041015625,0.000145409911056,0.0069071128964424
baseline,18,24,18000066,196.6476669999793,5.94920825958252,6.041015625,0.0001540833472972,0.0064402553252875
baseline,18,32,18000074,195.0934789999792,5.94920825958252,6.041015625,0.0002209695958299,0.0085454145446419
baseline,18,40,18000082,194.3050110000968,5.94920825958252,6.041015625,0.0095867002382874,0.0241350568830966
baseline,18,48,18000090,194.08077000002777,5.94920825958252,6.041015625,0.0002372509334236,0.0094284666702151
baseline,18,56,18000098,194.1255439999168,5.94920825958252,6.041015625,0.0003566093801055,0.0112485392019152
baseline,24,0,24000042,194.3185000000085,5.94920825958252,6.041015625,0.0027780777309089,0.0265700817108154
baseline,24,8,24000050,194.7671610000725,5.94920825958252,6.041015625,0.0005791162257082,0.0158234126865863
baseline,24,16,24000058,195.63110000012784,5.94920825958252,6.041015625,0.000287471077172,0.0094326799735426
baseline,24,24,24000066,195.9112350000396,5.94920825958252,6.041015625,0.0002491537015885,0.0094422902911901
baseline,24,32,24000074,196.2862269999732,5.94920825958252,6.041015625,0.0003726258873939,0.0102897053584456
baseline,24,40,24000082,194.0343359999588,5.94920825958252,6.041015625,0.000163866134244,0.0073624001815915
baseline,24,48,24000090,197.9669100001047,5.94920825958252,6.041015625,0.0003692651807796,0.0120350141078233
baseline,24,56,24000098,197.0556520000173,5.94920825958252,6.041015625,0.0003343116841278,0.0121423387899994
baseline,25,0,25000042,198.07095099986327,5.950033664703369,6.041015625,0.0002138204727089,0.0089627671986818
baseline,25,8,25000050,199.7490859998834,5.950033664703369,6.041015625,0.0003305364807602,0.0108044613152742
baseline,25,16,25000058,196.64310100006333,5.950033664703369,6.041015625,0.00017496086366,0.0081944717094302
baseline,25,24,25000066,198.4413110001242,5.950033664703369,6.041015625,0.0004890352720394,0.0136045729741454
baseline,25,32,25000074,202.06993400006468,5.950033664703369,6.041015625,0.0001474189630243,0.0072024720720946
baseline,25,40,25000082,196.71287200003465,5.950033664703369,6.041015625,0.0001322441094089,0.0076550818048417
