variant,end_to_end_env_steps_per_second,end_to_end_individual_action_chunks_per_second,env_name,episodes_requested,episodes_returned,estimated_individual_action_chunks,log_path,mean_episode_length,mean_episode_reward,model,policy_rpc_count,policy_rpc_deadline_miss_count,policy_rpc_deadline_miss_rate,policy_rpc_deadline_ms,policy_rpc_max_ms,policy_rpc_mean_ms,policy_rpc_median_ms,policy_rpc_p95_ms,policy_rpc_p99_ms,raw_printed_success_rate,raw_video_count,raw_video_dir,returncode,rollout_wall_seconds,rollout_wall_seconds_per_episode,selected_video_count,success_count,success_rate,task_index,task_name,total_episode_steps
p37,4.328558410204463,0.5472069097660004,libero_sim/pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,20,20,613,/tmp/gr00t_p37_libero_spatial_eval/logs/success_rate/cka_task_00_pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate.log,242.45,0.75,cka,125,125,1.0,400.0,979.6742700000324,450.9270593999681,445.0468869999895,468.7925088004704,479.7834506798972,0.75,20,/tmp/gr00t_p37_libero_spatial_eval/rollouts/videos/cka/00_pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,0,1120.2343922560012,56.011719612800064,3,15,0.75,0,black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,4849
p37,3.6133691257050735,0.465912066090913,libero_sim/pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,20,20,274,/tmp/gr00t_p37_libero_spatial_eval/logs/success_rate/cka_task_01_pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate.log,106.25,1.0,cka,61,61,1.0,400.0,472.2479289994226,451.94789045904815,452.9029019995505,471.0949889995391,472.2432429993205,1.0,20,/tmp/gr00t_p37_libero_spatial_eval/rollouts/videos/cka/01_pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,0,588.093805552,29.404690277600004,3,20,1.0,1,black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,2125
p37,3.621614345359312,0.4731370838865591,libero_sim/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,20,20,246,/tmp/gr00t_p37_libero_spatial_eval/logs/success_rate/cka_task_02_pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate.log,94.15,1.0,cka,52,52,1.0,400.0,459.06894700056,436.4954763076849,438.7467670003389,454.6989556504741,457.8339998495176,1.0,20,/tmp/gr00t_p37_libero_spatial_eval/rollouts/videos/cka/02_pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,0,519.933880429,25.996694021450004,3,20,1.0,2,black_bowl_from_table_center_and_place_it_on_the_plate,1883
p37,3.022580666136308,0.3919427930607104,libero_sim/pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,20,20,229,/tmp/gr00t_p37_libero_spatial_eval/logs/success_rate/cka_task_03_pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate.log,88.3,1.0,cka,59,59,1.0,400.0,456.4908699994703,432.5863892032831,432.9536079985701,453.76397269883455,456.30271393980365,1.0,20,/tmp/gr00t_p37_libero_spatial_eval/rollouts/videos/cka/03_pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,0,584.2689393820001,29.213446969100005,3,20,1.0,3,black_bowl_on_the_cookie_box_and_place_it_on_the_plate,1766
p37,2.769949979179662,0.3565282151419366,libero_sim/pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,20,20,338,/tmp/gr00t_p37_libero_spatial_eval/logs/success_rate/cka_task_04_pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate.log,131.3,1.0,cka,102,102,1.0,400.0,495.8051909998176,451.2435682744242,450.2535815008741,468.9689154512962,469.9413048612769,1.0,20,/tmp/gr00t_p37_libero_spatial_eval/rollouts/videos/cka/04_pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,0,948.031560042,47.4015780021,3,20,1.0,4,black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,2626
p37,3.2500264444747926,0.4201217615980159,libero_sim/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,20,20,284,/tmp/gr00t_p37_libero_spatial_eval/logs/success_rate/cka_task_05_pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate.log,109.85,1.0,cka,66,66,1.0,400.0,460.4943099984666,438.03713392442273,437.8595790003601,458.3045672488879,460.259687299731,1.0,20,/tmp/gr00t_p37_libero_spatial_eval/rollouts/videos/cka/05_pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,0,675.9944995939986,33.79972497969993,3,20,1.0,5,black_bowl_on_the_ramekin_and_place_it_on_the_plate,2197
p37,3.8285940874409183,0.4954017665886983,libero_sim/pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,20,20,276,/tmp/gr00t_p37_libero_spatial_eval/logs/success_rate/cka_task_06_pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate.log,106.65,1.0,cka,57,57,1.0,400.0,475.0934160001634,436.6875094031122,439.66823300070246,458.05902179999975,468.1676641594095,1.0,20,/tmp/gr00t_p37_libero_spatial_eval/rollouts/videos/cka/06_pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,0,557.1235684130006,27.856178420650032,3,20,1.0,6,black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,2133
p37,3.315203966611849,0.4219202694143084,libero_sim/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,20,20,519,/tmp/gr00t_p37_libero_spatial_eval/logs/success_rate/cka_task_07_pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate.log,203.9,0.85,cka,134,134,1.0,400.0,468.4095650009112,434.3803261415733,431.67474750043766,457.2194392501842,465.62836557819537,0.8571428571428571,21,/tmp/gr00t_p37_libero_spatial_eval/rollouts/videos/cka/07_pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,0,1230.090227048,61.5045113524,3,17,0.85,7,black_bowl_on_the_stove_and_place_it_on_the_plate,4078
p37,3.384222068056275,0.4327525345646673,libero_sim/pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,20,20,356,/tmp/gr00t_p37_libero_spatial_eval/logs/success_rate/cka_task_08_pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate.log,139.2,0.95,cka,91,91,1.0,400.0,468.84501300155534,435.85603003293227,434.990805999405,454.07625950247166,464.6508662997803,0.95,20,/tmp/gr00t_p37_libero_spatial_eval/rollouts/videos/cka/08_pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,0,822.6410513299998,41.13205256649999,3,19,0.95,8,black_bowl_next_to_the_plate_and_place_it_on_the_plate,2784
p37,3.6450424048935495,0.4689282663745541,libero_sim/pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,20,20,335,/tmp/gr00t_p37_libero_spatial_eval/logs/success_rate/cka_task_09_pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate.log,130.2,1.0,cka,75,75,1.0,400.0,460.7240920013282,433.1354216533752,431.8791780024185,455.2809936983977,458.16049520020897,1.0,20,/tmp/gr00t_p37_libero_spatial_eval/rollouts/videos/cka/09_pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,0,714.3949811129969,35.71974905564984,3,20,1.0,9,black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,2604
