variant,trajectory_id,step,seed,latency_ms,peak_allocated_gib,peak_reserved_gib,mse,mae
baseline,38,8,38000050,267.92561499996737,5.947970390319824,6.041015625,0.000786120945122,0.0164322797209024
baseline,38,16,38000058,262.50582499994835,5.947970390319824,6.041015625,0.0004912306321784,0.0127590401098132
baseline,38,24,38000066,261.031518999971,5.947970390319824,6.041015625,0.0005101218703202,0.0107889324426651
baseline,38,32,38000074,265.1010079999878,5.947970390319824,6.041015625,0.003279747441411,0.0158702004700899
baseline,38,40,38000082,259.2975090000209,5.947970390319824,6.041015625,0.0001694485836196,0.0081371450796723
baseline,38,48,38000090,263.40151600004447,5.947970390319824,6.041015625,0.000165098826983,0.0082318019121885
baseline,38,56,38000098,268.28939299991816,5.947970390319824,6.041015625,0.0001812046393752,0.008924376219511
baseline,9,0,9000042,285.9073440000657,5.94838285446167,6.041015625,0.0421427823603153,0.1140839457511901
baseline,9,8,9000050,265.7856939999874,5.94838285446167,6.041015625,0.0094316555187106,0.0482277832925319
baseline,9,16,9000058,254.01618300008977,5.94838285446167,6.041015625,0.0001897590263979,0.0092247147113084
baseline,9,24,9000066,260.4906840000467,5.94838285446167,6.041015625,0.0004882624780293,0.01388796325773
baseline,9,32,9000074,261.8415780000305,5.94838285446167,6.041015625,0.0005294565344229,0.0138776320964097
baseline,9,40,9000082,261.9816369999626,5.94838285446167,6.041015625,0.0003191233263351,0.0112470388412475
baseline,9,48,9000090,256.37219999998706,5.94838285446167,6.041015625,0.0007131168385967,0.0153908943757414
baseline,9,56,9000098,259.59775100000115,5.94838285446167,6.041015625,0.0090040555223822,0.0167752504348754
baseline,13,0,13000042,263.0620289999115,5.947970390319824,6.041015625,0.0016582572134211,0.0190856661647558
baseline,13,8,13000050,257.44546100008847,5.947970390319824,6.041015625,0.0005139338900335,0.0117884511128067
baseline,13,16,13000058,262.16252300002907,5.947970390319824,6.041015625,0.0001699421118246,0.0081265196204185
baseline,13,24,13000066,263.30741399999624,5.947970390319824,6.041015625,0.0002428073639748,0.0089174164459109
baseline,13,32,13000074,262.1359230000735,5.947970390319824,6.041015625,0.0001390367106068,0.0069269645027816
baseline,13,40,13000082,261.5720979999878,5.947970390319824,6.041015625,0.0001486512192059,0.0074531659483909
baseline,13,48,13000090,256.47202000004654,5.947970390319824,6.041015625,0.000230544785154,0.0092664556577801
baseline,13,56,13000098,255.74194900002567,5.947970390319824,6.041015625,0.0002156752452719,0.0086628990247845
baseline,20,0,20000042,257.7045229999157,5.946319580078125,6.041015625,0.0004547298885881,0.0108248787000775
baseline,20,8,20000050,260.16770700005054,5.946319580078125,6.041015625,0.0001238860422745,0.0080391652882099
baseline,20,16,20000058,268.05116699995324,5.946319580078125,6.041015625,0.0001129914671764,0.0074161505326628
baseline,20,24,20000066,259.7651969999788,5.946319580078125,6.041015625,0.0004073758027516,0.0121669843792915
baseline,20,32,20000074,265.51079800003663,5.946319580078125,6.041015625,0.0005794762982986,0.0152341807261109
baseline,20,40,20000082,301.335397999992,5.946319580078125,6.041015625,0.0003948497178498,0.0118407811969518
baseline,20,48,20000090,265.02663500002654,5.946319580078125,6.041015625,0.0005929548060521,0.0108282817527651
baseline,20,56,20000098,263.7849110000161,5.946319580078125,6.041015625,7.546704728156328e-05,0.0059607769362628
baseline,17,0,17000042,308.13363499999014,5.947970390319824,6.041015625,0.009800917468965,0.0433789268136024
baseline,17,8,17000050,304.486438999902,5.947970390319824,6.041015625,0.0011587656335905,0.0159116946160793
