variant,end_to_end_env_steps_per_second,end_to_end_individual_action_chunks_per_second,env_name,episodes_requested,episodes_returned,estimated_individual_action_chunks,log_path,mean_episode_length,mean_episode_reward,model,policy_rpc_count,policy_rpc_deadline_miss_count,policy_rpc_deadline_miss_rate,policy_rpc_deadline_ms,policy_rpc_max_ms,policy_rpc_mean_ms,policy_rpc_median_ms,policy_rpc_p95_ms,policy_rpc_p99_ms,raw_printed_success_rate,raw_video_count,raw_video_dir,returncode,rollout_wall_seconds,rollout_wall_seconds_per_episode,selected_video_count,success_count,success_rate,task_index,task_name,total_episode_steps,original_success_count,original_success_rate,success_rate_provenance
p37,12.064737557908328,1.5281030682513563,libero_sim/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,20,20,735,/root/gr00t-runtime/gr00t_p37_libero_10_eval/logs/success_rate/cka_task_00_living_room_scene2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket.log,290.15,0.95,cka,189,188,0.9947089947089948,400.0,1191.1667630010925,461.7363183757266,456.2540689985326,497.4852457999077,506.5826152808586,0.9047619047619048,21,/root/gr00t-runtime/gr00t_p37_libero_10_eval/rollouts/videos/cka/00_living_room_scene2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,0,480.9884982700005,24.049424913500022,3,19,0.95,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,5803,,,
p37,13.086563691737542,1.6522369180244874,libero_sim/LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,20,20,780,/root/gr00t-runtime/gr00t_p37_libero_10_eval/logs/success_rate/cka_task_01_living_room_scene2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket.log,308.9,0.9,cka,183,183,1.0,400.0,512.364340998829,466.9543194699135,462.4904009997408,496.5157032000207,505.5045179592344,0.9,20,/root/gr00t-runtime/gr00t_p37_libero_10_eval/rollouts/videos/cka/01_living_room_scene2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,0,472.0872603019998,23.604363015099988,3,18,0.9,1,LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,6178,,,
p37,11.129257052487024,1.404680452689253,libero_sim/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,20,20,805,/root/gr00t-runtime/gr00t_p37_libero_10_eval/logs/success_rate/cka_task_02_kitchen_scene3_turn_on_the_stove_and_put_the_moka_pot_on_it.log,318.9,0.9,cka,187,187,1.0,400.0,513.6940039992623,494.9169867433379,494.70456699964416,506.5311952006596,511.78039662096126,0.9,20,/root/gr00t-runtime/gr00t_p37_libero_10_eval/rollouts/videos/cka/02_kitchen_scene3_turn_on_the_stove_and_put_the_moka_pot_on_it,0,573.0840764950008,28.65420382475004,3,18,0.9,2,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,6378,,,
p37,14.141496423896188,1.7954775559096054,libero_sim/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,20,20,638,/root/gr00t-runtime/gr00t_p37_libero_10_eval/logs/success_rate/cka_task_03_kitchen_scene4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it.log,251.25,1.0,cka,140,140,1.0,400.0,513.9732569987245,467.2999821072543,463.2716590012933,499.6756095994897,503.35133449027126,1.0,20,/root/gr00t-runtime/gr00t_p37_libero_10_eval/rollouts/videos/cka/03_kitchen_scene4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,0,355.3372181680006,17.76686090840003,3,20,1.0,3,KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,5025,,,
p37,17.765508524475166,2.2448167713018923,libero_sim/LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate,20,20,942,/root/gr00t-runtime/gr00t_p37_libero_10_eval/logs/success_rate/cka_task_04_living_room_scene5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on.log,372.75,0.75,cka,212,212,1.0,400.0,532.9762600013055,483.3599024811932,480.74542450012814,512.5783621490881,523.7939209617616,0.75,20,/root/gr00t-runtime/gr00t_p37_libero_10_eval/rollouts/videos/cka/04_living_room_scene5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on,0,419.6333580729988,20.981667903649942,3,15,0.75,4,LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate,7455,,,
p37,15.804734879601993,1.9895110134961644,libero_sim/STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,20,20,804,/root/gr00t-runtime/gr00t_p37_libero_10_eval/logs/success_rate/cka_task_05_study_scene1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy.log,319.35,0.75,cka,200,200,1.0,400.0,509.2750799994974,462.9991612100093,458.66353749988775,496.0430485496544,504.7499391318343,0.7142857142857143,21,/root/gr00t-runtime/gr00t_p37_libero_10_eval/rollouts/videos/cka/05_study_scene1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,0,404.11940147399946,20.205970073699973,3,15,0.75,5,STUDY_SCENE1_book_and_place_it_in_the_back_compartment_of_the_caddy,6387,,,
p37,15.510390532230437,1.9635143821786047,libero_sim/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,20,20,715,/root/gr00t-runtime/gr00t_p37_libero_10_eval/logs/success_rate/cka_task_06_living_room_scene6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_rig.log,282.4,0.95,cka,179,179,1.0,400.0,531.460223999602,482.53435530715154,478.43494699918665,514.0605539996614,520.4741829194973,0.95,20,/root/gr00t-runtime/gr00t_p37_libero_10_eval/rollouts/videos/cka/06_living_room_scene6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_rig,0,364.14299100100106,18.20714955005005,3,19,0.95,6,LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,5648,,,
p37,15.319986363657522,1.9324739937672204,libero_sim/LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,20,20,857,/root/gr00t-runtime/gr00t_p37_libero_10_eval/logs/success_rate/cka_task_07_living_room_scene1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket.log,339.7,0.9,cka,190,190,1.0,400.0,510.8031550007581,464.01273301568216,460.3690335006832,494.2513153488108,505.67457714940247,0.9,20,/root/gr00t-runtime/gr00t_p37_libero_10_eval/rollouts/videos/cka/07_living_room_scene1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,0,443.4729795919993,22.173648979599967,3,18,0.9,7,LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,6794,,,
p37,12.806255210626906,1.6063595386152218,libero_sim/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,20,20,1476,/root/gr00t-runtime/gr00t_p37_libero_10_eval/logs/success_rate/cka_task_08_kitchen_scene8_put_both_moka_pots_on_the_stove.log,588.35,0.5,cka,331,331,1.0,400.0,517.6644530001795,493.1583820331769,492.9583800003456,507.80487049996736,513.9271158015617,0.5,20,/root/gr00t-runtime/gr00t_p37_libero_10_eval/rollouts/videos/cka/08_kitchen_scene8_put_both_moka_pots_on_the_stove,0,918.8478447810012,45.94239223905006,3,10,0.5,8,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,11767,,,
p37,15.64034150979145,1.969071044611709,libero_sim/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,20,20,772,/root/gr00t-runtime/gr00t_p37_libero_10_eval/logs/success_rate/cka_task_09_kitchen_scene6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it.log,306.6,0.95,cka,170,170,1.0,400.0,510.0011219983571,463.9237630588468,460.311257002104,495.4553907995432,506.2395157010542,0.95,20,/root/gr00t-runtime/gr00t_p37_libero_10_eval/rollouts/videos/cka/09_kitchen_scene6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,0,392.0630502960012,19.60315251480006,3,19,0.95,9,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,6132,,,
