variant,trajectory_id,step,seed,latency_ms,peak_allocated_gib,peak_reserved_gib,mse,mae
baseline,19,8,19000050,210.34178999980213,5.94755744934082,6.0390625,5.781278014183045e-05,0.0042215036228299
baseline,19,16,19000058,205.169216998911,5.94755744934082,6.0390625,0.0001149362651631,0.0058128931559622
baseline,19,24,19000066,202.5365219997184,5.94755744934082,6.0390625,6.903090979903936e-05,0.0052491379901766
baseline,19,32,19000074,198.26911800191735,5.94755744934082,6.0390625,3.62327518814709e-05,0.0038343023043125
baseline,19,40,19000082,201.55565999812097,5.94755744934082,6.0390625,0.0001043382653733,0.0061289998702704
baseline,19,48,19000090,201.7509069992229,5.94755744934082,6.0390625,0.0001285911275772,0.0062044388614594
baseline,19,56,19000098,197.25083900266327,5.94755744934082,6.0390625,0.0001312990498263,0.0060168504714965
p25,22,0,22000042,169.52907299855724,5.061651229858398,5.177734375,0.0013080976204946,0.0181906372308731
p25,22,8,22000050,169.4619679983589,5.061651229858398,5.177734375,0.0006438003038056,0.0140752652660012
p25,22,16,22000058,166.71830600171234,5.061651229858398,5.177734375,0.0006728625739924,0.0137063609436154
p25,22,24,22000066,168.32695799894282,5.061651229858398,5.177734375,0.0007043096120469,0.0146800726652145
p25,22,32,22000074,170.72986099810805,5.061651229858398,5.177734375,0.0002538016415201,0.009194248355925
p25,22,40,22000082,163.08290700180805,5.061651229858398,5.177734375,9.738787048263477e-05,0.0058122826740145
p25,22,48,22000090,161.8498259995249,5.061651229858398,5.177734375,0.0016032715793699,0.0164060648530721
p25,22,56,22000098,162.99064499980886,5.061651229858398,5.177734375,0.002748406259343,0.0241631884127855
p25,2,0,2000042,169.1525449969049,5.061651229858398,5.177734375,0.0002695042348932,0.0090074827894568
p25,2,8,2000050,168.48116799883428,5.061651229858398,5.177734375,0.0001221400161739,0.0067411214113235
p25,2,16,2000058,171.1070050005219,5.061651229858398,5.177734375,0.000168278318597,0.0073050176724791
p25,2,24,2000066,162.55265700237942,5.061651229858398,5.177734375,0.0002428090665489,0.0086368275806307
p25,2,32,2000074,167.74535999866202,5.061651229858398,5.177734375,0.0001140687527367,0.0063482448458671
p25,2,40,2000082,167.58108900103252,5.061651229858398,5.177734375,0.0006315459613688,0.0123578682541847
p25,2,48,2000090,166.06852400218486,5.061651229858398,5.177734375,0.000266460556304,0.0085445707663893
p25,2,56,2000098,171.5779849982937,5.061651229858398,5.177734375,0.0043374779634177,0.0323647893965244
p25,49,0,49000042,166.76248799922178,5.061651229858398,5.177734375,0.0026257669087499,0.0270966626703739
p25,49,8,49000050,170.65089199968497,5.061651229858398,5.177734375,0.0003965038340538,0.0106530440971255
p25,49,16,49000058,168.52278400256182,5.061651229858398,5.177734375,0.0002400277880951,0.0091772330924868
p25,49,24,49000066,166.40203800125164,5.061651229858398,5.177734375,0.0006320078973658,0.0135343102738261
p25,49,32,49000074,171.38130100283888,5.061651229858398,5.177734375,0.0003588157123886,0.0109103368595242
p25,49,40,49000082,170.2193380006065,5.061651229858398,5.177734375,0.000386258267099,0.0119457095861434
p25,49,48,49000090,173.98981400037883,5.061651229858398,5.177734375,0.0096143400296568,0.0261669177561998
p25,49,56,49000098,168.285014002322,5.061651229858398,5.177734375,0.0006452468805946,0.0107488762587308
p25,5,0,5000042,166.80496200206107,5.062834739685059,5.177734375,0.0006300139357335,0.01508420240134
p25,5,8,5000050,166.19898000135436,5.062834739685059,5.177734375,0.0003231441078241,0.0119983404874801
p25,5,16,5000058,166.70208199866465,5.062834739685059,5.177734375,0.0003459151193965,0.0116108348593115
p25,5,24,5000066,174.23470799985807,5.062834739685059,5.177734375,0.0001358196313958,0.0069017903879284
p25,5,32,5000074,166.11017100149184,5.062834739685059,5.177734375,0.0002562692388892,0.0099861118942499
p25,5,40,5000082,172.56850500052678,5.062834739685059,5.177734375,0.0092907845973968,0.0199683774262666
p25,5,48,5000090,169.29633499967167,5.062834739685059,5.177734375,0.0099018905311822,0.0290625337511301
p25,5,56,5000098,169.23340500216,5.062834739685059,5.177734375,0.0003516185097396,0.010513162240386
p25,11,0,11000042,170.64837199723115,5.061651229858398,5.177734375,0.0024149003438651,0.0253856685012578
p25,11,8,11000050,193.31759600027,5.061651229858398,5.177734375,0.000488762918394,0.0113605828955769
p25,11,16,11000058,206.05725499990515,5.061651229858398,5.177734375,0.000255389517406,0.009821425192058
p25,11,24,11000066,173.2731669981149,5.061651229858398,5.177734375,0.0002353156742174,0.0093945283442735
p25,11,32,11000074,171.01984600230935,5.061651229858398,5.177734375,0.0006261087255552,0.0152228390797972
p25,11,40,11000082,166.76566100068158,5.061651229858398,5.177734375,0.0006194121087901,0.0144552635028958
p25,11,48,11000090,171.18969399962225,5.061651229858398,5.177734375,0.0008079050458036,0.0144369844347238
p25,11,56,11000098,175.21168399980525,5.061651229858398,5.177734375,0.0077866958454251,0.0215576440095901
p25,10,0,10000042,173.17920300047265,5.061269283294678,5.177734375,0.0005357440095394,0.0138272428885102
p25,10,8,10000050,169.52866499923402,5.061269283294678,5.177734375,0.0005580393481068,0.0127791287377476
p25,10,16,10000058,169.47473699838156,5.061269283294678,5.177734375,0.000274219084531,0.009392567910254
p25,10,24,10000066,167.3134470001969,5.061269283294678,5.177734375,0.0002927874156739,0.0096320183947682
p25,10,32,10000074,172.28751799848396,5.061269283294678,5.177734375,0.0097467256709933,0.0282019469887018
p25,10,40,10000082,165.8259440009715,5.061269283294678,5.177734375,0.0005034125060774,0.0148752881214022
p25,10,48,10000090,167.6020980012254,5.061269283294678,5.177734375,0.0007824205677025,0.0183165278285741
p25,10,56,10000098,165.16944199975114,5.061269283294678,5.177734375,0.0008694644784554,0.0168500635772943
p25,15,0,15000042,166.97840000051656,5.061651229858398,5.177734375,0.0091404719278216,0.04854167252779
p25,15,8,15000050,167.68339700138313,5.061651229858398,5.177734375,0.0008838846115395,0.0168411713093519
p25,15,16,15000058,171.60412799785263,5.061651229858398,5.177734375,0.0002493974170647,0.0088747376576066
p25,15,24,15000066,164.35469100179034,5.061651229858398,5.177734375,0.0003298696537967,0.0106114437803626
p25,15,32,15000074,167.2562759995344,5.061651229858398,5.177734375,0.0002920944243669,0.0096018882468342
p25,15,40,15000082,167.9737650010793,5.061651229858398,5.177734375,0.0005827493150718,0.0136203896254301
p25,15,48,15000090,170.15161599920248,5.061651229858398,5.177734375,0.0001692027872195,0.0073845302686095
p25,15,56,15000098,173.59804599982454,5.061651229858398,5.177734375,0.0002569717180449,0.0086329421028494
p25,20,0,20000042,170.56892199980211,5.061269283294678,5.177734375,0.0002253429120173,0.0101171229034662
p25,20,8,20000050,164.85420699973474,5.061269283294678,5.177734375,0.0003288494772277,0.0105862785130739
