variant,end_to_end_env_steps_per_second,end_to_end_individual_action_chunks_per_second,env_name,episodes_requested,episodes_returned,estimated_individual_action_chunks,log_path,mean_episode_length,mean_episode_reward,model,policy_rpc_count,policy_rpc_deadline_miss_count,policy_rpc_deadline_miss_rate,policy_rpc_deadline_ms,policy_rpc_max_ms,policy_rpc_mean_ms,policy_rpc_median_ms,policy_rpc_p95_ms,policy_rpc_p99_ms,raw_printed_success_rate,raw_video_count,raw_video_dir,returncode,rollout_wall_seconds,rollout_wall_seconds_per_episode,selected_video_count,success_count,success_rate,task_index,task_name,total_episode_steps,original_success_count,original_success_rate,success_rate_provenance
p37,10.773988075185768,1.3686011741311546,libero_sim/open_the_middle_drawer_of_the_cabinet,20,20,548,/root/gr00t-runtime/gr00t_p37_libero_goal_eval/logs/success_rate/cka_task_00_open_the_middle_drawer_of_the_cabinet.log,215.7,0.85,cka,125,125,1.0,400.0,1416.1479639988102,497.4193372879963,494.4356479991257,507.9802177995589,513.2615028400323,0.8571428571428571,21,/root/gr00t-runtime/gr00t_p37_libero_goal_eval/rollouts/videos/cka/00_open_the_middle_drawer_of_the_cabinet,0,400.4088337480007,20.020441687400037,3,17,0.85,0,open_the_middle_drawer_of_the_cabinet,4314,,,
p37,9.561251608716285,1.2201205545065492,libero_sim/put_the_bowl_on_the_stove,20,20,391,/root/gr00t-runtime/gr00t_p37_libero_goal_eval/logs/success_rate/cka_task_01_put_the_bowl_on_the_stove.log,153.2,0.9,cka,90,90,1.0,400.0,515.9356610001851,499.8742928888735,501.5244779997374,510.8221285008767,513.9135916803207,0.9,20,/root/gr00t-runtime/gr00t_p37_libero_goal_eval/rollouts/videos/cka/01_put_the_bowl_on_the_stove,0,320.4601369560005,16.023006847800026,3,18,0.9,1,put_the_bowl_on_the_stove,3064,,,
p37,7.490310513048327,0.9669075533194916,libero_sim/put_the_wine_bottle_on_top_of_the_cabinet,20,20,225,/root/gr00t-runtime/gr00t_p37_libero_goal_eval/logs/success_rate/cka_task_02_put_the_wine_bottle_on_top_of_the_cabinet.log,87.15,1.0,cka,54,54,1.0,400.0,518.3105370015255,500.2244230554088,498.8103779987796,513.2710036994467,518.04953744062,1.0,20,/root/gr00t-runtime/gr00t_p37_libero_goal_eval/rollouts/videos/cka/02_put_the_wine_bottle_on_top_of_the_cabinet,0,232.70063330000085,11.635031665000042,3,20,1.0,2,put_the_wine_bottle_on_top_of_the_cabinet,1743,,,
p37,11.630790451454736,1.4617415795395068,libero_sim/open_the_top_drawer_and_put_the_bowl_inside,20,20,926,/root/gr00t-runtime/gr00t_p37_libero_goal_eval/logs/success_rate/cka_task_03_open_the_top_drawer_and_put_the_bowl_inside.log,368.4,0.7,cka,203,203,1.0,400.0,514.279496999734,499.43352343348687,499.5144839995192,509.9352915020063,512.4801703013145,0.7,20,/root/gr00t-runtime/gr00t_p37_libero_goal_eval/rollouts/videos/cka/03_open_the_top_drawer_and_put_the_bowl_inside,0,633.4909076690001,31.674545383450003,3,14,0.7,3,open_the_top_drawer_and_put_the_bowl_inside,7368,,,
p37,8.484439415658183,1.106666010738024,libero_sim/put_the_bowl_on_top_of_the_cabinet,20,20,222,/root/gr00t-runtime/gr00t_p37_libero_goal_eval/logs/success_rate/cka_task_04_put_the_bowl_on_top_of_the_cabinet.log,85.1,1.0,cka,47,47,1.0,400.0,519.432263001363,498.5178151915495,496.8207319980138,509.8244414006331,515.6435728214274,1.0,20,/root/gr00t-runtime/gr00t_p37_libero_goal_eval/rollouts/videos/cka/04_put_the_bowl_on_top_of_the_cabinet,0,200.60252853699785,10.030126426849892,3,20,1.0,4,put_the_bowl_on_top_of_the_cabinet,1702,,,
p37,8.674888815230059,1.115254580590474,libero_sim/push_the_plate_to_the_front_of_the_stove,20,20,361,/root/gr00t-runtime/gr00t_p37_libero_goal_eval/logs/success_rate/cka_task_05_push_the_plate_to_the_front_of_the_stove.log,140.4,1.0,cka,94,94,1.0,400.0,515.4269609993207,501.0038189785964,503.0254124994826,510.64018919933005,512.9686575890082,1.0,20,/root/gr00t-runtime/gr00t_p37_libero_goal_eval/rollouts/videos/cka/05_push_the_plate_to_the_front_of_the_stove,0,323.69290947800255,16.184645473900126,3,20,1.0,5,push_the_plate_to_the_front_of_the_stove,2808,,,
p37,7.619458843085828,0.9819827625934002,libero_sim/put_the_cream_cheese_in_the_bowl,20,20,270,/root/gr00t-runtime/gr00t_p37_libero_goal_eval/logs/success_rate/cka_task_06_put_the_cream_cheese_in_the_bowl.log,104.75,1.0,cka,69,69,1.0,400.0,509.9116119999962,500.4514908695706,501.61625200053095,509.0329743972688,509.8334296811663,1.0,20,/root/gr00t-runtime/gr00t_p37_libero_goal_eval/rollouts/videos/cka/06_put_the_cream_cheese_in_the_bowl,0,274.95390987000064,13.747695493500032,3,20,1.0,6,put_the_cream_cheese_in_the_bowl,2095,,,
p37,8.05993160394399,1.0582592950529726,libero_sim/turn_on_the_stove,20,20,185,/root/gr00t-runtime/gr00t_p37_libero_goal_eval/logs/success_rate/cka_task_07_turn_on_the_stove.log,70.45,1.0,cka,38,38,1.0,400.0,510.0597380005638,497.61806194749767,497.8244124995399,507.3811718999423,509.7723516004044,1.0,20,/root/gr00t-runtime/gr00t_p37_libero_goal_eval/rollouts/videos/cka/07_turn_on_the_stove,0,174.8153792410012,8.74076896205006,3,20,1.0,7,turn_on_the_stove,1409,,,
p37,8.049597230208786,1.0499474648098417,libero_sim/put_the_bowl_on_the_plate,20,20,201,/root/gr00t-runtime/gr00t_p37_libero_goal_eval/logs/success_rate/cka_task_08_put_the_bowl_on_the_plate.log,77.05,1.0,cka,42,42,1.0,400.0,515.2071479969891,500.5927487856666,500.0501925005665,511.0910997507745,514.3919470484616,1.0,20,/root/gr00t-runtime/gr00t_p37_libero_goal_eval/rollouts/videos/cka/08_put_the_bowl_on_the_plate,0,191.43814975200075,9.571907487600038,3,20,1.0,8,put_the_bowl_on_the_plate,1541,,,
p37,9.04798583061534,1.1556706530409726,libero_sim/put_the_wine_bottle_on_the_rack,20,20,404,/root/gr00t-runtime/gr00t_p37_libero_goal_eval/logs/success_rate/cka_task_09_put_the_wine_bottle_on_the_rack.log,158.15,0.95,cka,103,103,1.0,400.0,515.933495000354,497.7744458931217,497.3666160003632,507.6874463997228,513.9404109385214,0.95,20,/root/gr00t-runtime/gr00t_p37_libero_goal_eval/rollouts/videos/cka/09_put_the_wine_bottle_on_the_rack,0,349.580565135002,17.479028256750098,3,19,0.95,9,put_the_wine_bottle_on_the_rack,3163,,,
