trajectory_id,step,seed,baseline_latency_ms,cka_p37_latency_ms,delta_latency_ms,baseline_peak_allocated_gib,cka_p37_peak_allocated_gib,delta_peak_allocated_gib,baseline_peak_reserved_gib,cka_p37_peak_reserved_gib,delta_peak_reserved_gib,baseline_mse,cka_p37_mse,delta_mse,baseline_mae,cka_p37_mae,delta_mae
19,56,19000098,197.25083900266327,156.42558299987286,-40.82525600279041,5.94755744934082,4.6193084716796875,-1.3282489776611328,6.0390625,4.71875,-1.3203125,0.0001312990498263389,0.0007840631878934801,0.0006527641380671412,0.006016850471496582,0.015149101614952087,0.009132251143455505
20,0,20000042,196.09040500290575,151.6409810010373,-44.449424001868465,5.947144985198975,4.618941783905029,-1.3282032012939453,6.0390625,4.71875,-1.3203125,0.00017105977167375386,0.001739586004987359,0.0015685262333136052,0.008207183331251144,0.022332696244120598,0.014125512912869453
20,8,20000050,205.28415099761332,150.25350699943374,-55.030643998179585,5.947144985198975,4.618941783905029,-1.3282032012939453,6.0390625,4.71875,-1.3203125,6.660806684521958e-05,0.0004072405572514981,0.0003406324904062785,0.004731580149382353,0.013273903168737888,0.008542323019355536
20,16,20000058,197.97758599816007,151.85792299962486,-46.119662998535205,5.947144985198975,4.618941783905029,-1.3282032012939453,6.0390625,4.71875,-1.3203125,5.963129297015257e-05,0.003543360158801079,0.0034837288658309262,0.004760516341775656,0.0372704342007637,0.03250991785898805
20,24,20000066,195.27712499984773,151.25854600046296,-44.01857899938477,5.947144985198975,4.618941783905029,-1.3282032012939453,6.0390625,4.71875,-1.3203125,9.29104135138914e-05,0.0005719037144444883,0.0004789933009305969,0.005315797869116068,0.014728039503097534,0.009412241633981466
20,32,20000074,205.86829199964995,151.22741800041695,-54.64087399923301,5.947144985198975,4.618941783905029,-1.3282032012939453,6.0390625,4.71875,-1.3203125,0.00043179988279007375,0.0008205148042179644,0.00038871492142789066,0.00881668645888567,0.015871649608016014,0.007054963149130344
20,40,20000082,203.61698199849343,148.42703099930077,-55.18995099919266,5.947144985198975,4.618941783905029,-1.3282032012939453,6.0390625,4.71875,-1.3203125,0.0004951393930241466,0.001069885678589344,0.0005747462855651975,0.0096199382096529,0.018946409225463867,0.009326471015810966
20,48,20000090,204.2491800020798,154.20464599992556,-50.04453400215425,5.947144985198975,4.618941783905029,-1.3282032012939453,6.0390625,4.71875,-1.3203125,0.00016465374210383743,0.000888269511051476,0.0007236157689476386,0.006617258302867413,0.018091151490807533,0.01147389318794012
20,56,20000098,199.8393230023794,152.58389900009206,-47.25542400228733,5.947144985198975,4.618941783905029,-1.3282032012939453,6.0390625,4.71875,-1.3203125,0.00012436381075531244,0.0003134388825856149,0.00018907507183030248,0.00616418244317174,0.010927622206509113,0.004763439763337374
22,0,22000042,198.7461099997745,157.32569000101648,-41.42041999875801,5.94755744934082,4.6193084716796875,-1.3282489776611328,6.0390625,4.71875,-1.3203125,0.00038723755278624594,0.005970829166471958,0.005583591613685712,0.009374724701046944,0.038197677582502365,0.02882295288145542
22,8,22000050,204.1123239978333,149.5803830002842,-54.5319409975491,5.94755744934082,4.6193084716796875,-1.3282489776611328,6.0390625,4.71875,-1.3203125,0.0005628381622955203,0.007558554410934448,0.006995716248638928,0.012283987365663052,0.04648808762431145,0.034204100258648396
22,16,22000058,211.8413270000019,152.70093000071938,-59.14039699928253,5.94755744934082,4.6193084716796875,-1.3282489776611328,6.0390625,4.71875,-1.3203125,0.0002828012511599809,0.002326837508007884,0.002044036256847903,0.008239218033850193,0.026540284976363182,0.01830106694251299
22,24,22000066,209.6094059997995,152.5651010015281,-57.0443049982714,5.94755744934082,4.6193084716796875,-1.3282489776611328,6.0390625,4.71875,-1.3203125,4.6320063120219857e-05,0.0007782556931488216,0.0007319356300286017,0.004219628870487213,0.014866679906845093,0.01064705103635788
22,32,22000074,209.39402699877974,154.6440120000625,-54.75001499871723,5.94755744934082,4.6193084716796875,-1.3282489776611328,6.0390625,4.71875,-1.3203125,5.1327708206372336e-05,0.00034229797893203795,0.0002909702707256656,0.004241549409925938,0.013016429729759693,0.008774880319833755
22,40,22000082,201.53494300029706,153.11291299985896,-48.4220300004381,5.94755744934082,4.6193084716796875,-1.3282489776611328,6.0390625,4.71875,-1.3203125,7.5788855610881e-05,0.0005979011184535921,0.0005221122628427111,0.004903438966721296,0.0113243842497468,0.006420945283025503
22,48,22000090,199.3291920007323,152.44715200060455,-46.882040000127745,5.94755744934082,4.6193084716796875,-1.3282489776611328,6.0390625,4.71875,-1.3203125,0.00010341756569687277,0.01158823724836111,0.011484819682664238,0.006049721967428923,0.03364478424191475,0.027595062274485826
22,56,22000098,202.33469400045578,150.72432200031471,-51.61037200014107,5.94755744934082,4.6193084716796875,-1.3282489776611328,6.0390625,4.71875,-1.3203125,0.00018035515677183867,0.0019407300278544426,0.001760374871082604,0.007479464169591665,0.022634360939264297,0.015154896769672632
23,0,23000042,206.35114299875568,152.4389770002017,-53.912165998553974,5.94755744934082,4.6193084716796875,-1.3282489776611328,6.0390625,4.71875,-1.3203125,0.00011736643500626087,0.004985815845429897,0.0048684494104236364,0.0063880798406898975,0.029294926673173904,0.022906846832484007
23,8,23000050,198.34578600057284,150.2966389998619,-48.049147000710946,5.94755744934082,4.6193084716796875,-1.3282489776611328,6.0390625,4.71875,-1.3203125,0.00020149679039604962,0.00036966236075386405,0.00016816557035781443,0.008543127216398716,0.011599917896091938,0.003056790679693222
23,16,23000058,200.4941699997289,153.96863700152608,-46.525532998202834,5.94755744934082,4.6193084716796875,-1.3282489776611328,6.0390625,4.71875,-1.3203125,0.0002378030476393178,0.0010161487152799964,0.0007783456676406786,0.007955523207783699,0.019016262143850327,0.011060738936066628
